Date,City,State,Temperature_Max (°C),Temperature_Min (°C),Temperature_Avg (°C),Humidity (%),Rainfall (mm),Wind_Speed (km/h),AQI,AQI_Category,Pressure (hPa),Cloud_Cover (%),Year,Month,Day,Day_of_Week,Day_Name,Temperature_Range (°C),Humidity_Temperature_Index
2024-01-03,Hyderabad,Telangana,30.9,22.0,26.5,85.3,0.0,23.5,70,Satisfactory,1014.4,59.2,2024,1,3,2,Wednesday,8.899999999999999,2260.45
2024-01-03,Ahmedabad,Gujarat,37.3,22.4,29.8,39.1,5.2,18.0,131,Moderate,1014.6,39.2,2024,1,3,2,Wednesday,14.899999999999999,1165.18
2024-01-03,Jaipur,Rajasthan,41.2,28.1,34.6,86.4,0.0,20.4,286,Poor,1012.7,71.7,2024,1,3,2,Wednesday,13.100000000000001,2989.4400000000005
2024-01-03,Lucknow,Uttar Pradesh,42.8,34.4,38.6,54.4,0.0,12.7,223,Poor,1009.0,32.2,2024,1,3,2,Wednesday,8.399999999999999,2099.84
2024-01-03,Bhopal,Madhya Pradesh,25.6,20.2,22.9,83.5,0.0,19.7,66,Satisfactory,997.6,64.2,2024,1,3,2,Wednesday,5.400000000000002,1912.1499999999999
2024-01-04,Mumbai,Maharashtra,26.0,15.7,20.9,65.1,60.8,13.9,123,Moderate,1001.3,80.5,2024,1,4,3,Thursday,10.3,1360.5899999999997
2024-01-04,Delhi,Delhi,33.8,28.0,30.9,31.6,9.6,11.4,117,Moderate,996.1,19.9,2024,1,4,3,Thursday,5.799999999999997,976.44
2024-01-04,Bengaluru,Karnataka,36.0,23.8,29.9,72.9,2.9,14.8,116,Moderate,1011.4,44.9,2024,1,4,3,Thursday,12.2,2179.71
2024-01-04,Chennai,Tamil Nadu,32.1,19.5,25.8,30.9,0.0,21.7,70,Satisfactory,1014.6,50.0,2024,1,4,3,Thursday,12.600000000000001,797.22
2024-01-04,Kolkata,West Bengal,34.8,25.1,30.0,41.3,4.4,16.6,234,Poor,991.6,40.6,2024,1,4,3,Thursday,9.699999999999996,1239.0
2024-01-04,Hyderabad,Telangana,35.1,21.5,28.3,72.8,1.7,2.6,218,Poor,1010.5,94.3,2024,1,4,3,Thursday,13.600000000000001,2060.24
2024-01-04,Ahmedabad,Gujarat,32.8,21.3,27.0,59.8,0.0,24.1,61,Satisfactory,1021.7,23.6,2024,1,4,3,Thursday,11.499999999999996,1614.6
2024-01-04,Jaipur,Rajasthan,27.0,21.8,24.4,36.1,0.0,21.4,127,Moderate,990.8,82.4,2024,1,4,3,Thursday,5.199999999999999,880.84
2024-01-04,Lucknow,Uttar Pradesh,27.4,15.4,21.4,70.9,8.8,8.5,290,Poor,996.2,76.3,2024,1,4,3,Thursday,11.999999999999998,1517.26
2024-01-04,Bhopal,Madhya Pradesh,44.8,35.7,40.2,54.2,33.9,21.7,273,Poor,1005.0,76.3,2024,1,4,3,Thursday,9.099999999999994,2178.84
2024-01-05,Mumbai,Maharashtra,27.1,13.0,20.0,62.8,32.4,11.0,68,Satisfactory,990.4,91.0,2024,1,5,4,Friday,14.100000000000001,1256.0
2024-01-05,Delhi,Delhi,31.4,16.9,24.1,91.8,0.0,8.7,273,Poor,1001.5,68.9,2024,1,5,4,Friday,14.5,2212.38
2024-01-05,Bengaluru,Karnataka,40.8,27.9,34.4,35.9,0.0,12.2,76,Satisfactory,1021.1,38.3,2024,1,5,4,Friday,12.899999999999999,1234.9599999999998
2024-01-05,Chennai,Tamil Nadu,27.9,15.2,21.6,70.2,1.1,3.7,65,Satisfactory,1018.8,72.1,2024,1,5,4,Friday,12.7,1516.3200000000002
2024-01-05,Kolkata,West Bengal,26.7,11.8,19.3,54.3,66.9,24.7,65,Satisfactory,1016.4,40.7,2024,1,5,4,Friday,14.899999999999999,1047.99
2024-01-05,Hyderabad,Telangana,40.5,30.0,35.3,57.6,0.0,2.3,76,Satisfactory,1006.4,10.3,2024,1,5,4,Friday,10.5,2033.28
2024-01-05,Ahmedabad,Gujarat,27.4,15.9,21.6,78.5,0.0,8.6,338,Very Poor,1020.4,26.2,2024,1,5,4,Friday,11.499999999999998,1695.6000000000001
2024-01-05,Jaipur,Rajasthan,25.2,10.5,17.9,32.8,46.9,3.7,202,Poor,1009.4,97.1,2024,1,5,4,Friday,14.7,587.1199999999999
2024-01-05,Lucknow,Uttar Pradesh,37.6,25.6,31.6,59.5,50.9,3.0,315,Very Poor,999.8,95.3,2024,1,5,4,Friday,12.0,1880.2
2024-01-05,Bhopal,Madhya Pradesh,34.1,22.9,28.5,48.0,0.0,15.4,345,Very Poor,992.7,97.6,2024,1,5,4,Friday,11.200000000000003,1368.0
2024-01-06,Mumbai,Maharashtra,39.0,28.6,33.8,50.1,0.0,23.0,264,Poor,1018.8,95.2,2024,1,6,5,Saturday,10.399999999999999,1693.3799999999999
2024-01-06,Delhi,Delhi,37.3,28.1,32.7,90.6,0.0,10.7,86,Satisfactory,1018.4,98.8,2024,1,6,5,Saturday,9.199999999999996,2962.62
2024-01-06,Bengaluru,Karnataka,36.9,28.1,32.5,93.0,0.0,11.5,308,Very Poor,999.6,10.4,2024,1,6,5,Saturday,8.799999999999997,3022.5
2024-01-06,Chennai,Tamil Nadu,41.3,26.3,33.8,94.8,63.8,21.5,80,Satisfactory,998.7,47.8,2024,1,6,5,Saturday,14.999999999999996,3204.24
2024-01-06,Kolkata,West Bengal,44.1,33.0,38.6,44.9,0.0,4.6,279,Poor,1013.5,54.4,2024,1,6,5,Saturday,11.100000000000001,1733.14
2024-01-06,Hyderabad,Telangana,35.4,21.9,28.6,65.9,0.0,5.1,232,Poor,991.0,76.7,2024,1,6,5,Saturday,13.5,1884.7400000000002
2024-01-06,Ahmedabad,Gujarat,39.1,32.0,35.5,38.9,0.0,11.0,147,Moderate,1005.3,90.9,2024,1,6,5,Saturday,7.100000000000001,1380.95
2024-01-06,Jaipur,Rajasthan,35.3,22.4,28.9,55.8,70.4,5.4,120,Moderate,1022.4,51.8,2024,1,6,5,Saturday,12.899999999999999,1612.62
2024-01-06,Lucknow,Uttar Pradesh,34.2,19.4,26.8,62.0,0.0,3.7,87,Satisfactory,994.5,17.2,2024,1,6,5,Saturday,14.800000000000004,1661.6000000000001
2024-01-06,Bhopal,Madhya Pradesh,27.8,16.4,22.1,41.8,0.0,17.4,52,Satisfactory,996.0,23.3,2024,1,6,5,Saturday,11.400000000000002,923.78
2024-01-07,Mumbai,Maharashtra,28.4,20.6,24.5,41.5,0.0,6.7,254,Poor,1002.7,52.8,2024,1,7,6,Sunday,7.799999999999997,1016.75
2024-01-07,Delhi,Delhi,25.8,12.8,19.3,70.8,71.2,3.4,271,Poor,999.7,81.6,2024,1,7,6,Sunday,13.0,1366.44
2024-01-07,Bengaluru,Karnataka,28.7,21.6,25.1,54.1,0.0,12.6,118,Moderate,1016.2,8.5,2024,1,7,6,Sunday,7.099999999999998,1357.91
2024-01-07,Chennai,Tamil Nadu,39.3,25.3,32.3,63.3,0.0,14.3,156,Moderate,998.5,30.6,2024,1,7,6,Sunday,13.999999999999996,2044.5899999999997
2024-01-07,Kolkata,West Bengal,25.4,17.2,21.3,43.7,18.4,15.7,194,Moderate,1013.8,80.0,2024,1,7,6,Sunday,8.2,930.8100000000001
2024-01-07,Hyderabad,Telangana,26.7,16.4,21.6,68.1,0.0,8.5,216,Poor,1002.7,66.4,2024,1,7,6,Sunday,10.3,1470.96
2024-01-07,Ahmedabad,Gujarat,32.1,17.3,24.7,69.4,0.0,7.7,128,Moderate,995.6,22.7,2024,1,7,6,Sunday,14.8,1714.18
2024-01-07,Jaipur,Rajasthan,28.5,14.5,21.5,35.2,38.7,4.6,308,Very Poor,1003.9,97.1,2024,1,7,6,Sunday,14.0,756.8000000000001
2024-01-07,Lucknow,Uttar Pradesh,41.3,33.8,37.6,41.1,0.0,15.1,97,Satisfactory,999.8,78.1,2024,1,7,6,Sunday,7.5,1545.3600000000001
2024-01-07,Bhopal,Madhya Pradesh,31.5,22.2,26.8,63.0,2.5,8.6,189,Moderate,1010.3,19.7,2024,1,7,6,Sunday,9.3,1688.4
2024-01-08,Mumbai,Maharashtra,35.7,30.1,32.9,51.9,14.4,9.4,251,Poor,1018.3,29.2,2024,1,8,0,Monday,5.600000000000001,1707.51
2024-01-08,Delhi,Delhi,40.2,29.2,34.7,60.7,34.4,21.1,266,Poor,1023.8,16.8,2024,1,8,0,Monday,11.000000000000004,2106.2900000000004
2024-01-08,Bengaluru,Karnataka,43.8,37.0,40.4,34.3,7.4,5.2,90,Satisfactory,1017.8,24.2,2024,1,8,0,Monday,6.799999999999997,1385.7199999999998
2024-01-08,Chennai,Tamil Nadu,28.3,15.1,21.7,73.2,35.1,11.0,156,Moderate,1018.6,46.7,2024,1,8,0,Monday,13.200000000000001,1588.44
2024-01-08,Kolkata,West Bengal,34.3,26.2,30.2,78.6,26.3,10.8,233,Poor,1009.0,91.1,2024,1,8,0,Monday,8.099999999999998,2373.72
2024-01-08,Hyderabad,Telangana,27.3,12.9,20.1,70.8,3.4,16.3,284,Poor,1008.7,89.9,2024,1,8,0,Monday,14.4,1423.0800000000002
2024-01-08,Ahmedabad,Gujarat,28.0,19.9,24.0,46.2,0.0,19.5,294,Poor,1020.7,37.5,2024,1,8,0,Monday,8.100000000000001,1108.8000000000002
2024-01-08,Jaipur,Rajasthan,27.2,13.7,20.5,38.3,0.0,7.3,238,Poor,1015.3,73.4,2024,1,8,0,Monday,13.5,785.15
2024-01-08,Lucknow,Uttar Pradesh,38.9,28.5,33.7,46.4,22.7,15.4,333,Very Poor,1004.0,48.9,2024,1,8,0,Monday,10.399999999999999,1563.68
2024-01-08,Bhopal,Madhya Pradesh,28.1,17.2,22.6,62.9,11.3,23.4,325,Very Poor,1009.8,71.2,2024,1,8,0,Monday,10.900000000000002,1421.54
2024-01-09,Mumbai,Maharashtra,39.1,32.6,35.9,67.5,6.1,23.5,75,Satisfactory,1022.4,47.8,2024,1,9,1,Tuesday,6.5,2423.25
2024-01-09,Delhi,Delhi,44.7,31.3,38.0,38.1,0.0,15.6,143,Moderate,1004.0,10.2,2024,1,9,1,Tuesday,13.400000000000002,1447.8
2024-01-09,Bengaluru,Karnataka,41.1,36.0,38.5,51.7,47.6,10.0,180,Moderate,1002.1,75.1,2024,1,9,1,Tuesday,5.100000000000001,1990.45
2024-01-09,Chennai,Tamil Nadu,29.5,20.0,24.7,39.2,0.0,23.0,236,Poor,1002.7,60.2,2024,1,9,1,Tuesday,9.5,968.24
2024-01-09,Kolkata,West Bengal,25.3,13.6,19.4,41.6,0.0,4.0,224,Poor,1024.9,52.7,2024,1,9,1,Tuesday,11.700000000000001,807.04
2024-01-09,Hyderabad,Telangana,26.3,13.8,20.1,43.6,0.0,2.8,60,Satisfactory,1006.5,58.7,2024,1,9,1,Tuesday,12.5,876.3600000000001
2024-01-09,Ahmedabad,Gujarat,40.5,31.0,35.7,64.1,0.0,5.6,333,Very Poor,996.4,86.9,2024,1,9,1,Tuesday,9.5,2288.37
2024-01-09,Jaipur,Rajasthan,32.5,24.8,28.6,71.9,0.0,18.5,108,Moderate,1013.1,7.6,2024,1,9,1,Tuesday,7.699999999999999,2056.34
2024-01-09,Lucknow,Uttar Pradesh,29.6,17.9,23.8,31.3,0.0,17.0,115,Moderate,998.3,14.4,2024,1,9,1,Tuesday,11.700000000000003,744.94
2024-01-09,Bhopal,Madhya Pradesh,39.4,25.9,32.7,84.0,0.0,8.7,66,Satisfactory,1021.4,6.2,2024,1,9,1,Tuesday,13.5,2746.8
2024-01-10,Mumbai,Maharashtra,29.2,23.9,26.5,41.8,39.5,20.8,157,Moderate,1002.0,29.6,2024,1,10,2,Wednesday,5.300000000000001,1107.6999999999998
2024-01-10,Delhi,Delhi,36.8,29.1,33.0,70.6,0.0,8.8,83,Satisfactory,1023.2,77.5,2024,1,10,2,Wednesday,7.699999999999996,2329.7999999999997
2024-01-10,Bengaluru,Karnataka,42.4,32.5,37.4,88.1,0.0,8.2,119,Moderate,1009.0,65.2,2024,1,10,2,Wednesday,9.899999999999999,3294.9399999999996
2024-01-10,Chennai,Tamil Nadu,27.8,14.4,21.1,94.0,0.0,2.4,218,Poor,1022.0,16.2,2024,1,10,2,Wednesday,13.4,1983.4
2024-01-10,Kolkata,West Bengal,30.5,19.9,25.2,72.3,0.0,5.1,225,Poor,1021.5,88.0,2024,1,10,2,Wednesday,10.600000000000001,1821.9599999999998
2024-01-10,Hyderabad,Telangana,37.0,25.4,31.2,41.4,0.0,13.9,268,Poor,991.6,20.8,2024,1,10,2,Wednesday,11.600000000000001,1291.6799999999998
2024-01-10,Ahmedabad,Gujarat,26.7,15.6,21.1,45.9,0.0,18.5,187,Moderate,1000.4,58.8,2024,1,10,2,Wednesday,11.1,968.49
2024-01-10,Jaipur,Rajasthan,38.3,23.9,31.1,77.6,0.0,15.7,225,Poor,991.8,52.2,2024,1,10,2,Wednesday,14.399999999999999,2413.36
2024-01-10,Lucknow,Uttar Pradesh,31.7,19.0,25.3,36.9,0.0,17.8,293,Poor,1005.2,28.4,2024,1,10,2,Wednesday,12.7,933.5699999999999
2024-01-10,Bhopal,Madhya Pradesh,41.0,29.0,35.0,47.7,0.0,23.1,178,Moderate,994.8,95.3,2024,1,10,2,Wednesday,12.0,1669.5
2024-01-11,Mumbai,Maharashtra,28.7,18.3,23.5,86.7,7.3,17.9,191,Moderate,1019.7,28.7,2024,1,11,3,Thursday,10.399999999999999,2037.45
2024-01-11,Delhi,Delhi,29.4,14.5,22.0,91.4,59.4,6.2,50,Good,1009.9,92.0,2024,1,11,3,Thursday,14.899999999999999,2010.8000000000002
2024-01-11,Bengaluru,Karnataka,38.9,31.0,35.0,90.1,0.0,21.8,296,Poor,1019.6,35.3,2024,1,11,3,Thursday,7.899999999999999,3153.5
2024-01-11,Chennai,Tamil Nadu,25.7,14.8,20.3,45.0,1.3,9.8,137,Moderate,1015.4,11.2,2024,1,11,3,Thursday,10.899999999999999,913.5
2024-01-11,Kolkata,West Bengal,35.8,22.9,29.3,50.7,6.3,7.4,46,Good,990.9,87.7,2024,1,11,3,Thursday,12.899999999999999,1485.5100000000002
2024-01-11,Hyderabad,Telangana,42.5,32.2,37.3,91.0,0.0,19.6,234,Poor,1004.1,50.6,2024,1,11,3,Thursday,10.299999999999997,3394.2999999999997
2024-01-11,Ahmedabad,Gujarat,42.5,27.6,35.1,79.9,4.2,7.5,129,Moderate,993.9,38.7,2024,1,11,3,Thursday,14.899999999999999,2804.4900000000002
2024-01-11,Jaipur,Rajasthan,30.9,23.6,27.3,32.7,0.0,10.8,334,Very Poor,1013.8,25.7,2024,1,11,3,Thursday,7.299999999999997,892.7100000000002
2024-01-11,Lucknow,Uttar Pradesh,40.7,34.8,37.8,57.1,0.0,16.1,111,Moderate,995.8,99.2,2024,1,11,3,Thursday,5.900000000000006,2158.38
2024-01-11,Bhopal,Madhya Pradesh,43.9,32.4,38.1,69.5,0.0,7.1,148,Moderate,996.5,79.1,2024,1,11,3,Thursday,11.5,2647.9500000000003
2024-01-12,Mumbai,Maharashtra,26.2,11.5,18.8,87.4,0.0,11.1,87,Satisfactory,1016.5,71.1,2024,1,12,4,Friday,14.7,1643.1200000000001
2024-01-12,Delhi,Delhi,41.3,34.1,37.7,44.5,0.0,4.1,80,Satisfactory,1020.7,30.2,2024,1,12,4,Friday,7.199999999999996,1677.65
2024-01-12,Bengaluru,Karnataka,42.8,28.2,35.5,86.0,0.0,4.0,120,Moderate,1004.3,40.4,2024,1,12,4,Friday,14.599999999999998,3053.0
2024-01-12,Chennai,Tamil Nadu,39.5,29.5,34.5,35.3,0.0,21.6,223,Poor,1007.3,50.7,2024,1,12,4,Friday,10.0,1217.85
2024-01-12,Kolkata,West Bengal,41.5,33.0,37.3,74.1,28.7,20.3,308,Very Poor,1013.0,85.8,2024,1,12,4,Friday,8.5,2763.9299999999994
2024-01-12,Hyderabad,Telangana,39.2,25.8,32.5,75.3,6.8,5.6,49,Good,1020.8,87.8,2024,1,12,4,Friday,13.400000000000002,2447.25
2024-01-12,Ahmedabad,Gujarat,41.5,35.2,38.4,51.8,7.5,21.1,128,Moderate,1007.8,5.6,2024,1,12,4,Friday,6.299999999999997,1989.12
2024-01-12,Jaipur,Rajasthan,37.3,22.5,29.9,71.1,0.0,19.9,207,Poor,993.7,77.3,2024,1,12,4,Friday,14.799999999999997,2125.89
2024-01-12,Lucknow,Uttar Pradesh,44.3,35.8,40.1,71.1,17.2,17.8,259,Poor,992.4,33.6,2024,1,12,4,Friday,8.5,2851.1099999999997
2024-01-12,Bhopal,Madhya Pradesh,26.3,15.5,20.9,52.5,13.2,24.4,80,Satisfactory,1023.9,76.2,2024,1,12,4,Friday,10.8,1097.25
2024-01-13,Mumbai,Maharashtra,40.2,34.9,37.5,31.4,3.3,17.7,349,Very Poor,1005.6,31.0,2024,1,13,5,Saturday,5.300000000000004,1177.5
2024-01-13,Delhi,Delhi,33.5,24.0,28.8,40.6,0.0,3.9,124,Moderate,1013.8,67.2,2024,1,13,5,Saturday,9.5,1169.28
2024-01-13,Bengaluru,Karnataka,44.0,37.5,40.8,58.1,9.4,11.1,166,Moderate,999.6,98.5,2024,1,13,5,Saturday,6.5,2370.48
2024-01-13,Chennai,Tamil Nadu,42.9,35.6,39.2,43.9,0.0,21.9,97,Satisfactory,1006.6,97.0,2024,1,13,5,Saturday,7.299999999999997,1720.88
2024-01-13,Kolkata,West Bengal,42.4,29.6,36.0,80.1,8.5,5.0,231,Poor,991.1,92.5,2024,1,13,5,Saturday,12.799999999999997,2883.6
2024-01-13,Hyderabad,Telangana,40.9,31.1,36.0,37.6,0.0,6.6,220,Poor,1007.2,11.1,2024,1,13,5,Saturday,9.799999999999997,1353.6000000000001
2024-01-13,Ahmedabad,Gujarat,30.4,17.4,23.9,50.2,0.0,11.0,130,Moderate,1006.8,62.0,2024,1,13,5,Saturday,13.0,1199.78
2024-01-13,Jaipur,Rajasthan,38.9,25.3,32.1,80.7,0.0,7.6,194,Moderate,1024.5,18.5,2024,1,13,5,Saturday,13.599999999999998,2590.4700000000003
2024-01-13,Lucknow,Uttar Pradesh,37.4,25.3,31.4,66.4,0.0,4.0,64,Satisfactory,1002.3,8.2,2024,1,13,5,Saturday,12.099999999999998,2084.96
2024-01-13,Bhopal,Madhya Pradesh,32.9,26.6,29.8,66.9,0.0,5.9,259,Poor,993.7,65.5,2024,1,13,5,Saturday,6.299999999999997,1993.6200000000001
2024-01-14,Mumbai,Maharashtra,25.6,11.3,18.5,33.4,59.6,18.4,292,Poor,1018.1,37.2,2024,1,14,6,Sunday,14.3,617.9
2024-01-14,Delhi,Delhi,26.6,12.7,19.6,65.6,8.2,14.1,58,Satisfactory,1015.6,12.8,2024,1,14,6,Sunday,13.900000000000002,1285.76
2024-01-14,Bengaluru,Karnataka,29.9,23.3,26.6,86.7,0.0,6.2,194,Moderate,1017.6,67.6,2024,1,14,6,Sunday,6.599999999999998,2306.2200000000003
2024-01-14,Chennai,Tamil Nadu,36.1,23.9,30.0,44.8,10.0,6.6,49,Good,1013.8,11.9,2024,1,14,6,Sunday,12.200000000000003,1344.0
2024-01-14,Kolkata,West Bengal,30.2,20.5,25.3,86.4,0.0,10.0,52,Satisfactory,1003.0,98.8,2024,1,14,6,Sunday,9.7,2185.92
2024-01-14,Hyderabad,Telangana,42.3,31.6,36.9,58.5,44.1,22.7,223,Poor,1004.8,31.3,2024,1,14,6,Sunday,10.699999999999996,2158.65
2024-01-14,Ahmedabad,Gujarat,43.2,36.1,39.7,70.5,0.0,18.5,113,Moderate,1021.8,22.1,2024,1,14,6,Sunday,7.100000000000001,2798.8500000000004
2024-01-14,Jaipur,Rajasthan,44.4,37.6,41.0,85.5,27.3,12.2,223,Poor,1008.0,39.1,2024,1,14,6,Sunday,6.799999999999997,3505.5
2024-01-14,Lucknow,Uttar Pradesh,28.3,19.4,23.8,93.0,0.0,19.8,180,Moderate,994.6,97.1,2024,1,14,6,Sunday,8.900000000000002,2213.4
2024-01-14,Bhopal,Madhya Pradesh,29.7,24.0,26.9,41.0,5.2,11.9,259,Poor,998.7,63.6,2024,1,14,6,Sunday,5.699999999999999,1102.8999999999999
2024-01-15,Mumbai,Maharashtra,28.3,21.7,25.0,32.4,0.0,21.4,309,Very Poor,1018.2,60.6,2024,1,15,0,Monday,6.600000000000001,810.0
2024-01-15,Delhi,Delhi,29.1,23.0,26.1,47.5,47.2,2.9,329,Very Poor,994.3,48.0,2024,1,15,0,Monday,6.100000000000001,1239.75
2024-01-15,Bengaluru,Karnataka,31.3,21.3,26.3,32.7,79.1,2.1,309,Very Poor,1023.3,65.7,2024,1,15,0,Monday,10.0,860.0100000000001
2024-01-15,Chennai,Tamil Nadu,34.1,23.9,29.0,61.8,0.0,9.1,248,Poor,1014.7,24.2,2024,1,15,0,Monday,10.200000000000003,1792.1999999999998
2024-01-15,Kolkata,West Bengal,44.4,38.5,41.4,73.7,0.0,17.9,251,Poor,1019.3,94.7,2024,1,15,0,Monday,5.899999999999999,3051.18
2024-01-15,Hyderabad,Telangana,34.9,23.8,29.4,86.5,12.1,17.9,244,Poor,1013.7,25.5,2024,1,15,0,Monday,11.099999999999998,2543.1
2024-01-15,Ahmedabad,Gujarat,32.9,21.4,27.1,36.9,0.0,24.5,282,Poor,1004.2,87.7,2024,1,15,0,Monday,11.5,999.99
2024-01-15,Jaipur,Rajasthan,36.3,24.0,30.1,87.1,4.1,20.6,175,Moderate,1016.7,80.8,2024,1,15,0,Monday,12.299999999999997,2621.71
2024-01-15,Lucknow,Uttar Pradesh,41.4,35.2,38.3,65.4,0.0,11.1,179,Moderate,1014.3,41.9,2024,1,15,0,Monday,6.199999999999996,2504.82
2024-01-15,Bhopal,Madhya Pradesh,29.8,21.0,25.4,44.8,0.8,16.2,307,Very Poor,1006.2,41.1,2024,1,15,0,Monday,8.8,1137.9199999999998
2024-01-16,Mumbai,Maharashtra,35.4,25.6,30.5,31.7,0.0,15.3,277,Poor,1008.7,62.8,2024,1,16,1,Tuesday,9.799999999999997,966.85
2024-01-16,Delhi,Delhi,41.3,29.1,35.2,92.1,0.0,16.9,327,Very Poor,1021.4,28.1,2024,1,16,1,Tuesday,12.199999999999996,3241.92
2024-01-16,Bengaluru,Karnataka,26.2,11.9,19.0,52.9,0.0,8.6,207,Poor,1000.8,81.3,2024,1,16,1,Tuesday,14.299999999999999,1005.1
2024-01-16,Chennai,Tamil Nadu,31.2,20.1,25.7,76.5,0.0,6.2,202,Poor,1013.8,22.2,2024,1,16,1,Tuesday,11.099999999999998,1966.05
2024-01-16,Kolkata,West Bengal,39.2,33.1,36.1,66.9,0.0,20.5,236,Poor,1009.3,9.1,2024,1,16,1,Tuesday,6.100000000000001,2415.09
2024-01-16,Hyderabad,Telangana,44.0,33.0,38.5,83.2,0.0,16.1,319,Very Poor,1004.4,84.8,2024,1,16,1,Tuesday,11.0,3203.2000000000003
2024-01-16,Ahmedabad,Gujarat,32.1,24.7,28.4,80.7,0.0,17.4,180,Moderate,993.3,64.3,2024,1,16,1,Tuesday,7.400000000000002,2291.88
